Name,Image,Team,Year
Kostas Antetokounmpo,https://cdn.statmuse.com/img/nba/teams/Los-Angeles-Lakers-Silhouette.png,Lakers,2020
Avery Bradley,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-avery-bradley-min--yp7cyf-p.png,Lakers,2020
Devontae Cacok,https://cdn.statmuse.com/img/nba/teams/Los-Angeles-Lakers-Silhouette.png,Lakers,2020
Kentavious Caldwell-Pope,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-kentavious-caldwell-pope-min-1---lq3ntzhu.png,Lakers,2020
Alex Caruso,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-alex-caruso2021-min--pv3yvqbo.png,Lakers,2020
Quinn Cook,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-quinn-cook-min--6vxl7wlv.png,Lakers,2020
Troy Daniels,https://cdn.statmuse.com/img/nba/teams/Los-Angeles-Lakers-Silhouette.png,Lakers,2020
Anthony Davis,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-anthony-davis2022-min--ohxgssrf.png,Lakers,2020
Jared Dudley,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-jared-dudley-min--ykaudoqr.png,Lakers,2020
Danny Green,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-danny-green2022-min--lcif8oag.png,Lakers,2020
Talen Horton-Tucker,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-talen-horton-tucker-min--qcuya6wg.png,Lakers,2020
Dwight Howard,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-dwight-howard2019-min--9p1mwxmo.png,Lakers,2020
LeBron James,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-lebron-james2021-min--i_ura2lt.png,Lakers,2020
Kyle Kuzma,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-kyle-kuzma2021-min--9pjfxbj8.png,Lakers,2020
JaVale McGee,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-javale-mcgee1-min--avswidbg.png,Lakers,2020
Markieff Morris,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-markieff-morris-min--ekmblhsr.png,Lakers,2020
Zach Norvell Jr.,https://cdn.statmuse.com/img/nba/teams/Los-Angeles-Lakers-Silhouette.png,Lakers,2020
Rajon Rondo,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-rajon-rondo2021-min--la-ocsaw.png,Lakers,2020
JR Smith,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-smith2018-min--owrmv5ku.png,Lakers,2020
Dion Waiters,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-dion-waiters-min--okdqldlb.png,Lakers,2020
Shannon Brown,https://cdn.statmuse.com/img/nba/teams/Los-Angeles-Lakers-Silhouette.png,Lakers,2020
Kobe Bryant,https://cdn.statmuse.com/img/nba/players/los-angeles-lakers-kobe-bryant2022-min--_tdtwumv.png,Lakers,2020
