Actor,,,,,,,,,,
Tom Hanks,Apollo 13,Forrest Gump,Toy Story ,Cast Away,Saving Private Ryan,The Green Mile,Big,Philadelphia,Sleepless in Seattle,You've Got Mail
Dustin Hoffman,Rain Man,Midnight Cowboy,Kramer vs. Kramer,Straight Time,Lenny,All the President's Men,The Graduate,Tootsie,Little Big Man,Straw Dogs
Jack Nicholson,One Flew Over the Cuckoo's Nest,Chinatown,Batman,The Shining,Five Easy Pieces,As Good as It Gets,Terms of Endearment,Easy Rider,Hoffa,About Schmidt
Al Pacino,Dog Day Afternoon,Serpico,The Godfather,Scarface,Scent of a Woman,...And Justice for All,Carlito's Way,Glengarry Glen Ross,The Devil's Advocate,Sea of Love
Robert De Niro,Taxi Driver,Goodfellas,Casino,Raging Bull,The King of Comedy,The Untouchables,Cape Fear,The Deer Hunter,Once Upon a Time in America,Mean Streets
Leonardo DiCaprio,Catch Me If You Can,Shutter Island,Inception,The Departed,The Aviator,Titanic,This Boy's Life,Gangs of New York,What's Eating Gilbert Grape,The Beach
Paul Newman,The Sting,Cool Hand Luke,The Color of Money,Butch Cassidy and the Sundance Kid,The Hustler,Road to Perdition,The Towering Inferno,Cars,The Left Handed Gun,The Verdict
George Clooney,"O Brother, Where Art Thou?",From Dusk till Dawn,Ocean's 11,The Thin Red Line,"Good Night, and Good Luck",Michael Clayton,Confessions of a Dangerous Mind,Syriana,Leatherheads,Three Kings
Johnny Depp,Donnie Brasco,Fear and Loathing in Las Vegas,Ed Wood,Sleepy Hollow,Benny & Joon,Blow,Edward Scissorhands,Sweeney Todd: The Demon Barber of Fleet Street,Pirates of the Caribbean ,Once Upon
Brad Pitt,Fight Club,Seven,12 Monkeys,Snatch,Troy,The Assassination of Jesse James by the Coward Robert Ford,The Curious Case of Benjamin Button,Inglourious Basterds,Mr. & Mrs. Smith,A River Runs Through
Tom Cruise,Days of Thunder,Top Gun,Mission: Impossible ,Risky Business,Born on the Fourth of July,Jerry Maguire,The Last Samurai,A Few Good Men,Interview with the Vampire,Minority Report
Clint Eastwood,Dirty Harry ,Hang 'Em High,Unforgiven,Million Dollar Baby,Dollars Trilogy,Escape from Alcatraz,Heartbreak Ridge,The Outlaw Josey Wales,High Plains Drifter,In the Line of Fire
Morgan Freeman,The Shawshank Redemption,Driving Miss Daisy,The Bucket List,Invictus,Glory,The Magic of Belle Isle,Kiss the Girls,The Sum of All Fears,Chain Reaction,Hard Rain
Marlon Brando,Apocalypse Now,On the Waterfront,A Streetcar Named Desire,Guys and Dolls,The Wild One,One-Eyed Jacks,Last Tango in Paris,Mutiny on the Bounty,The Missouri Breaks,The Score
