Tom Hanks,Apollo 13
Tom Hanks,Forrest Gump
Tom Hanks,Toy Story
Tom Hanks,Cast Away
Tom Hanks,Saving Private Ryan
Tom Hanks,The Green Mile
Tom Hanks,Big
Tom Hanks,Philadelphia
Tom Hanks,Sleepless in Seattle
Tom Hanks,You've Got Mail
Dustin Hoffman,Rain Man
Dustin Hoffman,Midnight Cowboy
Dustin Hoffman,Kramer vs. Kramer
Dustin Hoffman,Straight Time
Dustin Hoffman,Lenny
Dustin Hoffman,All the President's Men
Dustin Hoffman,The Graduate
Dustin Hoffman,Tootsie
Dustin Hoffman,Little Big Man
Dustin Hoffman,Straw Dogs
Jack Nicholson,One Flew Over the Cuckoo's Nest
Jack Nicholson,Chinatown
Jack Nicholson,Batman
Jack Nicholson,The Shining
Jack Nicholson,Five Easy Pieces
Jack Nicholson,As Good as It Gets
Jack Nicholson,Terms of Endearment
Jack Nicholson,Easy Rider
Jack Nicholson,Hoffa
Jack Nicholson,About Schmidt
Al Pacino,Dog Day Afternoon
Al Pacino,Serpico
Al Pacino,The Godfather
Al Pacino,Scarface
Al Pacino,Scent of a Woman
Al Pacino,...And Justice for All
Al Pacino,Carlito's Way
Al Pacino,Glengarry Glen Ross
Al Pacino,The Devil's Advocate
Al Pacino,Sea of Love
Robert De Niro,Taxi Driver
Robert De Niro,Goodfellas
Robert De Niro,Casino
Robert De Niro,Raging Bull
Robert De Niro,The King of Comedy
Robert De Niro,The Untouchables
Robert De Niro,Cape Fear
Robert De Niro,The Deer Hunter
Robert De Niro,Once Upon a Time in America
Robert De Niro,Mean Streets
Leonardo DiCaprio,Catch Me If You Can
Leonardo DiCaprio,Shutter Island
Leonardo DiCaprio,Inception
Leonardo DiCaprio,The Departed
Leonardo DiCaprio,The Aviator
Leonardo DiCaprio,Titanic
Leonardo DiCaprio,This Boy's Life
Leonardo DiCaprio,Gangs of New York
Leonardo DiCaprio,What's Eating Gilbert Grape
Leonardo DiCaprio,The Beach
Paul Newman,The Sting
Paul Newman,Cool Hand Luke
Paul Newman,The Color of Money
Paul Newman,Butch Cassidy and the Sundance Kid
Paul Newman,The Hustler
