American Idol,Anne Hathaway
Armageddon Time,Anne Hathaway
Bulgari: Unexpected Wonders,Anne Hathaway
Colossal,Anne Hathaway
Dark Waters,Anne Hathaway
Eileen,Anne Hathaway
Everything Wrong with...,Anne Hathaway
Flowervale Street,Anne Hathaway
Les Misérables,Anne Hathaway
Lindsay Ellis' Essay Collection,Anne Hathaway
Locked Down,Anne Hathaway
Modern Love,Anne Hathaway
Mother Mary,Anne Hathaway
Mothers' Instinct,Anne Hathaway
Rio,Anne Hathaway
Rio 2,Anne Hathaway
She Came to Me,Anne Hathaway
Solos,Anne Hathaway
Song One,Anne Hathaway
StoryBots: Answer Time,Anne Hathaway
The 81st Annual Academy Awards,Anne Hathaway
The 83rd Annual Academy Awards,Anne Hathaway
The Hustle,Anne Hathaway
The Idea of You,Anne Hathaway
The Kennedy Center Honors: A Celebration of the Performing Arts,Anne Hathaway
The Lifeboat,Anne Hathaway
The Oscars,Anne Hathaway
The Simpsons,Anne Hathaway
The Tonight Show Starring Jimmy Fallon,Anne Hathaway
The Witches,Anne Hathaway
WatchMojo,Anne Hathaway
WeCrashed,Anne Hathaway
Air,Ben Affleck
Animals,Ben Affleck
Apostle Paul,Ben Affleck
Bending the Arc,Ben Affleck
City on a Hill,Ben Affleck
Clerks III,Ben Affleck
Deep Water,Ben Affleck
Dunkin': The DunKings,Ben Affleck
Flash Before the Bang,Ben Affleck
For people in trouble,Ben Affleck
Gone Baby Gone,Ben Affleck
Good Will Hunting,Ben Affleck
Hypnotic,Ben Affleck
Incorporated,Ben Affleck
Jay and Silent Bob Reboot,Ben Affleck
Jimmy Kimmel's the Terrific Ten,Ben Affleck
Justice League,Ben Affleck
Keeper of the Lost Cities,Ben Affleck
Kiss the Future,Ben Affleck
Live by Night,Ben Affleck
More Time with Family,Ben Affleck
Project Greenlight,Ben Affleck
"Push, Nevada",Ben Affleck
Small Things Like These,Ben Affleck
The Flash,Ben Affleck
The Instigators,Ben Affleck
The Last Duel,Ben Affleck
The Last Thing He Wanted,Ben Affleck
The Leisure Class,Ben Affleck
The Runner,Ben Affleck
The Tender Bar,Ben Affleck
The Town,Ben Affleck
The Way Back,Ben Affleck
Thirst,Ben Affleck
This Is Me... Now,Ben Affleck
Triple Frontier,Ben Affleck
Unstoppable: The Anthony Robles Story,Ben Affleck
Witness for the Prosecution,Ben Affleck
Zack Snyder's Justice League,Ben Affleck
A Party for Richard Pryor,Eddie Murphy
Another 48 Hrs.,Eddie Murphy
Beverly Hills Cop,Eddie Murphy
Beverly Hills Cop II,Eddie Murphy
Beverly Hills Cop: Axel F,Eddie Murphy
Boomerang,Eddie Murphy
Candy Cane Lane,Eddie Murphy
CBS Summer Playhouse,Eddie Murphy
Chris Farley as Shrek,Eddie Murphy
Clippers,Eddie Murphy
Coming 2 America,Eddie Murphy
Coming to America,Eddie Murphy
Dolemite Is My Name,Eddie Murphy
DreamWorks Shrek's Swamp Stories,Eddie Murphy
Eddie Murphy Feat. Snoop Lion: Red Light,Eddie Murphy
Eddie Murphy: Oh Jah Jah,Eddie Murphy
Eddie Murphy: Promise (You Won't Break My Heart),Eddie Murphy
Eddie Murphy: Raw,Eddie Murphy
Eddie Murphy: Temporary,Eddie Murphy
Feeding America Comedy Festival,Eddie Murphy
Harlem Nights,Eddie Murphy
Life,Eddie Murphy
Move the Crowd,Eddie Murphy
Mr. Church,Eddie Murphy
Norbit,Eddie Murphy
Nutty Professor II: The Klumps,Eddie Murphy
Saturday Night Live: The Best of Eddie Murphy,Eddie Murphy
Shrek's Thrilling Tales,Eddie Murphy
The Best of Eddie Murphy: Saturday Night Live,Eddie Murphy
The Kid Who Loved Christmas,Eddie Murphy
The Pickup,Eddie Murphy
The Pink Panther,Eddie Murphy
The PJs,Eddie Murphy
The Royal Family,Eddie Murphy
Tower Heist,Eddie Murphy
Vampire in Brooklyn,Eddie Murphy
You People,Eddie Murphy
8,George Clooney
August: Osage County,George Clooney
Brother from Another,George Clooney
Catch-22,George Clooney
Confessions of a Dangerous Mind,George Clooney
"Good Night, and Good Luck.",George Clooney
Gravity,George Clooney
"Hail, Caesar!",George Clooney
How to Build a Truth Engine,George Clooney
Leatherheads,George Clooney
Money Monster,George Clooney
Nespresso: Compostable,George Clooney
Nespresso: The Bet,George Clooney
Nespresso: Training Day,George Clooney
Nespresso: Unforgettable Taste,George Clooney
On Becoming a God in Central Florida,George Clooney
Our Brand Is Crisis,George Clooney
Red Platoon,George Clooney
Suburbicon,George Clooney
The Art of Political Murder,George Clooney
The Boys in the Boat,George Clooney
The Department,George Clooney
The Descendants,George Clooney
The Ides of March,George Clooney
The Midnight Sky,George Clooney
The Monster of Florence,George Clooney
The Monuments Men,George Clooney
The Timeline,George Clooney
Ticket to Paradise,George Clooney
Tomorrowland,George Clooney
Trial by Media,George Clooney
Unscripted,George Clooney
Untitled Ohio State Scandal Project,George Clooney
Wolfs,George Clooney
Ammonite,Kate Winslet
Avatar: The Way of Water,Kate Winslet
Baba Yaga,Kate Winslet
Black Beauty,Kate Winslet
Blackbird,Kate Winslet
"Buttons, A New Musical Film",Kate Winslet
DreamScapes,Kate Winslet
Fake!,Kate Winslet
I Am...,Kate Winslet
Lee,Kate Winslet
Mare of Easttown,Kate Winslet
Moominvalley,Kate Winslet
Naya Legend of the Golden Dolphin,Kate Winslet
Swift,Kate Winslet
The Christmas Letter,Kate Winslet
The Mountain Between Us,Kate Winslet
The Regime,Kate Winslet
Wonder Wheel,Kate Winslet
Atari,Leonardo DiCaprio
Captain Planet,Leonardo DiCaprio
Django Unchained,Leonardo DiCaprio
Fin,Leonardo DiCaprio
From Devil's Breath,Leonardo DiCaprio
Greensburg,Leonardo DiCaprio
Inception,Leonardo DiCaprio
Inception: The Cobol Job,Leonardo DiCaprio
J. Edgar,Leonardo DiCaprio
Jim Jones,Leonardo DiCaprio
Kid 90,Leonardo DiCaprio
Killers of the Flower Moon,Leonardo DiCaprio
King of Cool,Leonardo DiCaprio
Lil Dicky: Earth,Leonardo DiCaprio
Once Upon a Time... in Hollywood,Leonardo DiCaprio
Ozi: Voice of the Forest,Leonardo DiCaprio
Path of the Panther,Leonardo DiCaprio
Revolutionary Road,Leonardo DiCaprio
Roosevelt,Leonardo DiCaprio
Shining Girls,Leonardo DiCaprio
Shutter Island,Leonardo DiCaprio
Stay Wild,Leonardo DiCaprio
The 11th Hour,Leonardo DiCaprio
The Audition,Leonardo DiCaprio
The Devil in the White City,Leonardo DiCaprio
The Great Gatsby,Leonardo DiCaprio
The Loneliest Whale: The Search for 52,Leonardo DiCaprio
The Revenant,Leonardo DiCaprio
The Right Stuff,Leonardo DiCaprio
The Titans That Built America,Leonardo DiCaprio
The Volcano: Rescue from Whakaari,Leonardo DiCaprio
"The Wager: A Tale of Shipwreck, Mutiny, and Murder",Leonardo DiCaprio
