Actor,Actor_link,Movies,Images
"Tom Hanks","https://www.imdb.com/list/ls051980843//name/nm0000158?ref_=nmls_hd","1. Apollo 13\n2. Forrest Gump\n3. Toy Story Series\n4. Cast Away\n5. Saving Private Ryan\n6. The Green Mile\n7. Big\n8. Philadelphia\n9. Sleepless in Seattle\n10. You've Got Mail","https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
"Dustin Hoffman","https://www.imdb.com/list/ls051980843//name/nm0000163?ref_=nmls_hd","1. Rain Man\n2. Midnight Cowboy\n3. Kramer vs. Kramer\n4. Straight Time\n5. Lenny\n6. All the President's Men\n7. The Graduate\n8. Tootsie\n9. Little Big Man\n10. Straw Dogs","https://m.media-amazon.com/images/M/MV5BMTc3NzU0ODczMF5BMl5BanBnXkFtZTcwODEyMDY5Mg@@._V1_UY209_CR8,0,140,209_AL_.jpg"
"Jack Nicholson","https://www.imdb.com/list/ls051980843//name/nm0000197?ref_=nmls_hd","1. One Flew Over the Cuckoo's Nest\n2. Chinatown\n3. Batman\n4. The Shining\n5. Five Easy Pieces\n6. As Good as It Gets\n7. Terms of Endearment\n8. Easy Rider\n9. Hoffa\n10. About Schmidt","https://m.media-amazon.com/images/M/MV5BMTQ3OTY0ODk0M15BMl5BanBnXkFtZTYwNzE4Njc4._V1_UY209_CR5,0,140,209_AL_.jpg"
"Al Pacino","https://www.imdb.com/list/ls051980843//name/nm0000199?ref_=nmls_hd","1. Dog Day Afternoon\n2. Serpico\n3. The Godfather Series\n4. Scarface\n5. Scent of a Woman\n6. ...And Justice for All\n7. Carlito's Way\n8. Glengarry Glen Ross\n9. The Devil's Advocate\n10. Sea of Love","https://m.media-amazon.com/images/M/MV5BMTQzMzg1ODAyNl5BMl5BanBnXkFtZTYwMjAxODQ1._V1_UX140_CR0,0,140,209_AL_.jpg"
"Robert De Niro","https://www.imdb.com/list/ls051980843//name/nm0000134?ref_=nmls_hd","1. Taxi Driver\n2. Goodfellas\n3. Casino\n4. Raging Bull\n5. The King of Comedy\n6. The Untouchables\n7. Cape Fear\n8. The Deer Hunter\n9. Once Upon a Time in America\n10. Mean Streets","https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_UY209_CR9,0,140,209_AL_.jpg"
"Leonardo DiCaprio","https://www.imdb.com/list/ls051980843//name/nm0000138?ref_=nmls_hd","1. Catch Me If You Can\n2. Shutter Island\n3. Inception\n4. The Departed\n5. The Aviator\n6. Titanic\n7. This Boy's Life\n8. Gangs of New York\n9. What's Eating Gilbert Grape\n10. The Beach","https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg"
"Paul Newman","https://www.imdb.com/list/ls051980843//name/nm0000056?ref_=nmls_hd","1. The Sting\n2. Cool Hand Luke\n3. The Color of Money\n4. Butch Cassidy and the Sundance Kid\n5. The Hustler\n6. Road to Perdition\n7. The Towering Inferno\n8. Cars\n9. The Left Handed Gun\n10. The Verdict","https://m.media-amazon.com/images/M/MV5BOWY2MDlmNTAtYWQ3Mi00YTU0LWEzZDYtYmEyM2UzYTY2YTM1XkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
"George Clooney","https://www.imdb.com/list/ls051980843//name/nm0000123?ref_=nmls_hd","1. O Brother, Where Art Thou?\n2. From Dusk till Dawn\n3. Ocean's Series\n4. The Thin Red Line\n5. Good Night, and Good Luck\n6. Michael Clayton\n7. Confessions of a Dangerous Mind\n8. Syriana\n9. Leatherheads\n10. Three Kings","https://m.media-amazon.com/images/M/MV5BMjEyMTEyOTQ0MV5BMl5BanBnXkFtZTcwNzU3NTMzNw@@._V1_UY209_CR7,0,140,209_AL_.jpg"
"Johnny Depp","https://www.imdb.com/list/ls051980843//name/nm0000136?ref_=nmls_hd","1. Donnie Brasco\n2. Fear and Loathing in Las Vegas\n3. Ed Wood\n4. Sleepy Hollow\n5. Benny & Joon\n6. Blow\n7. Edward Scissorhands\n8. Sweeney Todd: The Demon Barber of Fleet Street\n9. Pirates of the Caribbean Series\n10. Once Upon a Time in Mexico","https://m.media-amazon.com/images/M/MV5BOTBhMTI1NDQtYmU4Mi00MjYyLTk5MjEtZjllMDkxOWY3ZGRhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY209_CR1,0,140,209_AL_.jpg"
"Brad Pitt","https://www.imdb.com/list/ls051980843//name/nm0000093?ref_=nmls_hd","1. Fight Club\n2. Seven\n3. 12 Monkeys\n4. Snatch\n5. Troy\n6. The Assassination of Jesse James by the Coward Robert Ford\n7. The Curious Case of Benjamin Button\n8. Inglourious Basterds\n9. Mr. & Mrs. Smith\n10. A River Runs Through It","https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Tom Cruise","https://www.imdb.com/list/ls051980843//name/nm0000129?ref_=nmls_hd","1. Days of Thunder\n2. Top Gun\n3. Mission: Impossible Series\n4. Risky Business\n5. Born on the Fourth of July\n6. Jerry Maguire\n7. The Last Samurai\n8. A Few Good Men\n9. Interview with the Vampire\n10. Minority Report","https://m.media-amazon.com/images/M/MV5BYTFlOTdjMjgtNmY0ZC00MDgxLThjNmEtZGIxZTQyZDdkMTRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR7,0,140,209_AL_.jpg"
"Clint Eastwood","https://www.imdb.com/list/ls051980843//name/nm0000142?ref_=nmls_hd","1. Dirty Harry Series\n2. Hang 'Em High\n3. Unforgiven\n4. Million Dollar Baby\n5. Dollars Trilogy\n6. Escape from Alcatraz\n7. Heartbreak Ridge\n8. The Outlaw Josey Wales\n9. High Plains Drifter\n10. In the Line of Fire","https://m.media-amazon.com/images/M/MV5BMTg3MDc0MjY0OV5BMl5BanBnXkFtZTcwNzU1MDAxOA@@._V1_UY209_CR7,0,140,209_AL_.jpg"
"Morgan Freeman","https://www.imdb.com/list/ls051980843//name/nm0000151?ref_=nmls_hd","1. The Shawshank Redemption\n2. Driving Miss Daisy\n3. The Bucket List\n4. Invictus\n5. Glory\n6. The Magic of Belle Isle\n7. Kiss the Girls\n8. The Sum of All Fears\n9. Chain Reaction\n10. Hard Rain","https://m.media-amazon.com/images/M/MV5BMTc0MDMyMzI2OF5BMl5BanBnXkFtZTcwMzM2OTk1MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
"Marlon Brando","https://www.imdb.com/list/ls051980843//name/nm0000008?ref_=nmls_hd","1. Apocalypse Now\n2. On the Waterfront\n3. A Streetcar Named Desire\n4. Guys and Dolls\n5. The Wild One\n6. One-Eyed Jacks\n7. Last Tango in Paris\n8. Mutiny on the Bounty\n9. The Missouri Breaks\n10. The Score","https://m.media-amazon.com/images/M/MV5BMTg3MDYyMDE5OF5BMl5BanBnXkFtZTcwNjgyNTEzNA@@._V1_UY209_CR65,0,140,209_AL_.jpg"
"Arnold Schwarzenegger","https://www.imdb.com/list/ls051980843//name/nm0000216?ref_=nmls_hd","1. The Terminator Series\n2. Jingle All the Way\n3. True Lies\n4. The Running Man\n5. Predator\n6. Twins\n7. Total Recall\n8. Commando\n9. Kindergarten Cop\n10. Red Heat","https://m.media-amazon.com/images/M/MV5BMTI3MDc4NzUyMV5BMl5BanBnXkFtZTcwMTQyMTc5MQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
